case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,TPR_mse_vs_NN,TPR_mse_vs_y,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,well_specified
highdim_poly4,softplus,64,1,3,0,39,True,10000,20,1,0.0011190274416499812,0.031315293548565014,0.00016779629229181543,0.0013933508723832273,0.0045876464544307265,0.004207723078171539,0.8425791732517511,0.002988652312462354,0.037847528692558294,0.04395018845217226,0.034280299522369315,-0.6127492049859048,False
highdim_poly4,softplus,64,1,3,0,40,True,10000,20,1,0.0010257740270715264,0.035449898791808154,0.00022811545720442128,0.0013159627266070666,0.0045876464544307265,0.004049805874755861,0.8425791732517511,0.0028991740647695144,0.01838731185084303,0.042317251070453615,0.03570445988055527,-0.6505382433546214,False
highdim_poly4,softplus,64,1,3,0,41,True,10000,20,1,0.0009905796035240767,0.038230076274165394,0.00029163419691269457,0.0013660771592949065,0.0045876464544307265,0.004066030169606072,0.8425791732517511,0.002914556325368472,0.007498252422774851,0.042872448968508114,0.036258692456406214,-0.6657005603261444,False
highdim_poly4,softplus,64,1,3,0,42,True,10000,20,1,0.0009961183558310984,0.04375024492700161,0.0010040059878085683,0.0021514314437396645,0.0045876464544307265,0.004144935477584154,0.8425791732517511,0.002949656222044029,0.023748983808146495,0.04149804844329928,0.036170824314001995,-0.6632789986746799,False
highdim_poly4,softplus,64,1,3,0,43,True,10000,20,1,0.000977337811045589,0.03386353777786668,0.0005378774586934592,0.0016098443120392265,0.0045876464544307265,0.0039329508250596475,0.8425791732517511,0.002808857440308469,0.007116962734141619,0.040856846518627116,0.036469764542856324,-0.6715452407560091,False
highdim_poly4,softplus,64,1,3,0,44,True,10000,20,1,0.0009489119703249205,0.034553707748011975,0.000583345460795399,0.0016489629631799723,0.0045876464544307265,0.003915755481589909,0.8425791732517511,0.0027744777048085904,0.01221810051274617,0.039966065223851585,0.036927752272151775,-0.6843640165440426,False
highdim_poly4,softplus,64,1,3,0,45,True,10000,20,1,0.0010082494827384967,0.04158655710034008,0.0007962629961510472,0.0017818903369956885,0.0045876464544307265,0.004249103556567245,0.8425791732517511,0.0030177992613337947,0.022614531276143456,0.04173295636969465,0.03597922258490664,-0.658021933873598,False
highdim_poly4,softplus,64,1,3,0,46,True,10000,20,1,0.000950584108705289,0.03334751222124955,0.0006210809780530468,0.0015816771218030783,0.0045876464544307265,0.003933123814315722,0.8425791732517511,0.0027924504364346342,0.012842435285873302,0.04069616567644721,0.036900623005213254,-0.6835993920026425,False
highdim_poly4,softplus,64,1,3,0,47,True,10000,20,1,0.001380848263993751,0.03610979976720899,0.0001619389105379131,0.0015180733418047082,0.0045876464544307265,0.003927450946667734,0.8425791732517511,0.0028067211334932996,0.014852762415771385,0.04173133678148519,0.030572400320815256,-0.5214439834663108,False
highdim_poly4,softplus,64,1,3,0,48,True,10000,20,1,0.001139076916465584,0.041787703330395984,0.00023147269526720525,0.0014471693826617652,0.0045876464544307265,0.004144289800239252,0.8425791732517511,0.0029608382208402345,0.021190428245537515,0.042422879892369716,0.03398195348183534,-0.6050368908302136,False
highdim_poly4,softplus,64,1,3,0,49,True,10000,20,1,0.0009430167320161301,0.03594331379769719,0.0004956094126729898,0.0014606464764812682,0.0045876464544307265,0.003955769495633872,0.8425791732517511,0.002793522377448611,0.030628513812874868,0.041092848568163795,0.03702358955936167,-0.6870705432224895,False
