case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,initial_n,initial_fit_n,initial_valid_n,fpr_distance,tpr_distance,combined_distance,initial_nn_valid_mse,initial_fpr_valid_mse,initial_tpr_valid_mse,initial_fpr_mimic_mse,initial_tpr_mimic_mse,distance_norm,raw_dopt_weight,dopt_weight,normalization_low,normalization_high,p_dim,source_prefix
highdim_highfreq,High-frequency,20,10000,7500,2500,3,0,375,281,94,0.2053376401483425,0.947114012098516,0.5762258261234292,0.0828586988012312,0.4545973075344688,5978.886765768481,0.4973527517664137,5987.555070373983,0.9608179987945126,0.0391820012054874,0.3254683007835668,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,3,1,375,281,94,0.24139349690943,0.9500538027580856,0.5957236498337578,0.0914145019742017,0.7553856210746851,341.9793299897842,0.6334113740544376,343.92190264683035,1.0,0.0,0.3,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,4,0,375,281,94,0.2144898613345727,0.9467012089772576,0.5805955351559152,0.0917964322951832,0.493973067159296,2559.4190453494,0.4832781060899104,2555.6368905076,0.9797331206906502,0.0202668793093497,0.3131734715510773,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,4,1,375,281,94,0.3117272746801186,0.929555141284542,0.6206412079823304,0.0962296435801108,0.8555913881437907,350.2249424803302,0.8736036659844214,350.46770588864774,1.0,0.0,0.3,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,50,10000,7500,2500,0,0,375,281,94,0.0044242189143744,0.4491443683924185,0.2267842936533964,0.0786436739516173,0.0499482883090251,4.998527734595136,0.0328792232392943,4.588804189385086,0.2268338280225675,0.7731661719774325,0.802558011785331,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,0,1,375,281,94,0.0042794918270253,0.8345539955609917,0.4194167436940085,0.0778818197375948,0.0402916564879851,45.42618195133806,0.0365633007771874,44.73857434863334,0.8213229837823673,0.1786770162176326,0.4161400605414612,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,1,0,375,281,94,0.0036541101963659,0.761074254174614,0.38236418218549,0.0590840313250086,0.0394533561041482,23.570187538530185,0.0300632716809113,23.54009490330149,0.7069738904427286,0.2930261095572714,0.4904669712122264,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,1,1,375,281,94,0.0029721985131485,0.471281665751768,0.2371269321324582,0.0651041228844753,0.0438049821646207,5.323986552257326,0.0314282419168698,5.44827352675984,0.2587525749234659,0.7412474250765341,0.7818108262997471,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,2,0,375,281,94,0.0037480201299355,0.924691165080354,0.4642195926051448,0.0634670994751842,0.0400160411716845,197.26419830440253,0.0293248508694459,196.233725587484,0.9595904865795334,0.0404095134204666,0.3262661837233033,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,2,1,375,281,94,0.0037232614794855,0.8480511917903429,0.4258872266349142,0.0531775831561575,0.0385352704560872,58.32051380465102,0.0280736818777165,58.44660217290635,0.8412917478202345,0.1587082521797654,0.4031603639168475,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,3,0,375,281,94,0.0041673856003653,0.9310486695622544,0.4676080275813098,0.0736127815865063,0.0427403881563428,279.0706805113631,0.0369277975535112,277.6417300906749,0.9700476439686578,0.0299523560313421,0.3194690314203724,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,3,1,375,281,94,0.0028979726841131,0.8054574175233311,0.4041776951037221,0.0658460248872688,0.0378537361920552,38.8084692012421,0.0271411309675852,37.39943097497592,0.7742932692710688,0.2257067307289312,0.4467093749738052,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,4,0,375,281,94,0.0046233198902659,0.3930473054550069,0.1988353126726364,0.0508897280637103,0.0395083595534623,3.807832663292579,0.0327096261112269,3.650849825880381,0.1405795852711734,0.8594204147288266,0.8586232695737372,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_poly2,Quadratic,50,10000,7500,2500,4,1,375,281,94,0.0036191274543113,0.313583388379083,0.1586012579166972,0.0550354084731965,0.0349384383975432,2.974613418642849,0.0298141139057434,2.7906249387677806,0.0164119840201425,0.9835880159798576,0.9393322103869072,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_smooth,Smooth,50,10000,7500,2500,0,0,375,281,94,0.0061844857898036,0.2590174120365623,0.1326009489131829,0.0205842746035409,0.03727370495777,2.22707334398535,0.0490880832365704,2.141674042994965,0.0,1.0,0.95,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
highdim_smooth,Smooth,50,10000,7500,2500,0,1,375,281,94,0.0052095694883042,0.8495861568920013,0.4273978631901527,0.0148409775950037,0.0332513970173737,53.587619992202654,0.0368816401688892,53.53544327279063,0.8459537715353163,0.1540462284646837,0.4001300485020444,0.1532832791761315,0.4773134960005478,50,measure_weighted_sampling_grand_mean_p50
