case,case_label,p,device,cuda_name,data_seed,init_seed,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_path
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,1,1250,0.006259438590831428,0.004543302491330651,0.002006293155992573,0.0025405720314701456,0.0021543636112295204,0.0027189278974389768,0.0020413121471899564,0.0020341135812160104,0.0020714728401373906,0.0026655617899000793,0.002540847895651838,0.0027150097126972974,1.7155137809565242,4.689058753150084,0.29497600000104285
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,2,1750,0.006259438590831428,0.004506942398733723,0.0019689696981387175,0.0026474022569502416,0.0021543636112295204,0.0027189278974389768,0.001986136481937407,0.0019621708596724496,0.0020053032937541195,0.0025779805222439747,0.002490918913963953,0.0026952480793406676,0.8643305208282496,-2.6928727392338647,0.44890940000186674
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,3,2250,0.006259438590831428,0.004491843749632546,0.0019297338380076649,0.0025633238102431228,0.0021543636112295204,0.0027189278974389768,0.001958150622481793,0.0019466202283547963,0.001975700532476062,0.0025454260391358525,0.002522663176204673,0.0026423109183547244,1.4512052417148789,-0.7031345964130388,0.6247763999999734
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,4,2750,0.006259438590831428,0.004470062868171625,0.0019241559300103787,0.002418504703832644,0.0021543636112295204,0.0027189278974389768,0.0019735970632404334,0.00195653323261311,0.0019848812764850505,0.0025545540025061187,0.0024961007322424384,0.0026030049110302915,2.505128029977796,5.325755436761357,0.8472457000025315
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,5,3250,0.006259438590831428,0.004463455940628073,0.001919740876443119,0.002685041454587338,0.0021543636112295204,0.0027189278974389768,0.0019448117206900882,0.0019142239600511315,0.001955756179341461,0.0027153600638306977,0.0025348850339768415,0.002805322105106747,1.2891142098872825,1.1165594444439106,1.081703899999411
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,0,375,0.0056856283149976485,0.004693642796839735,0.0017756059116496188,0.002372138379722138,0.0027493154539393262,0.0032333162815607,0.0018216805761122959,0.001793192040902369,0.0019206695050574345,0.002375754549982975,0.0022074134336277037,0.00253388775940229,2.529239487254478,0.1522114420811155,0.14491419999831123
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,1,875,0.0056856283149976485,0.004534571124380144,0.0014436784476405996,0.0019780034054808675,0.0027493154539393262,0.0032333162815607,0.0015185044530542768,0.0014909458564145066,0.0015248027720809066,0.0020461130635474082,0.0018979508192516381,0.0020580076600247386,4.927611852778848,3.328733845648634,0.28853439999875263
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,2,1375,0.0056856283149976485,0.004514081661323377,0.0014098625391441538,0.001753862331785607,0.0027493154539393262,0.0032333162815607,0.001453144612564577,0.0014321667029821002,0.0014652270384689786,0.001910199131660462,0.0018747325063141512,0.001990399355889458,2.9785110887234354,8.184319492332595,0.450381999999081
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,3,1875,0.0056856283149976485,0.004497159911184881,0.0013758004156022856,0.0018149622030311926,0.0027493154539393262,0.0032333162815607,0.0014140746553083765,0.0013995286592948797,0.0014252805896420564,0.0019303583378800112,0.0018952557801304973,0.001990948178637011,2.7066632983209953,5.9779644320106256,0.6240145999981905
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,4,2375,0.0056856283149976485,0.00448585744623969,0.001359989144263454,0.0018900994551466137,0.0027493154539393262,0.0032333162815607,0.0013967635897654271,0.0013910214869291002,0.0014015508061100846,0.0018447971195451147,0.0017802954249412203,0.0019031286997246194,2.6328324829937,-2.455681176078022,0.8014105999973253
