case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,random_final_mse,gain_vs_random_pct,p_dim,source_prefix
highdim_smooth,Smooth,20,10000,7500,2500,1,1,dopt,D-optimal,6,3375,0.0023091248698281,0.0159213149546034,0.94434021539159,0.4801307651730968,0.544852135168525,0.5958461121404587,500,0,0,0.0026723378229292,13.591580749436428,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,1,latin,Latin hypercube,6,3375,0.0026796429925846,0.0159213149546034,0.94434021539159,0.4801307651730968,0.544852135168525,0.5958461121404587,0,0,500,0.0026723378229292,-0.2733625065180712,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,0,measure_weighted,Measure-weighted,6,3375,0.0021919990192704,0.0125394692812874,0.7386107365578658,0.3755751029195766,0.0922629394683258,0.890029089345588,445,55,0,0.0022838482142769,4.021685610819112,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,0,random,Random,6,3375,0.0022838482142769,0.0125394692812874,0.7386107365578658,0.3755751029195766,0.0922629394683258,0.890029089345588,0,500,0,0.0022838482142769,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,0,dopt,D-optimal,6,3375,0.0020954838301879,0.0125394692812874,0.7386107365578658,0.3755751029195766,0.0922629394683258,0.890029089345588,500,0,0,0.0022838482142769,8.24767525755279,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,0,latin,Latin hypercube,6,3375,0.0020527557802072,0.0125394692812874,0.7386107365578658,0.3755751029195766,0.0922629394683258,0.890029089345588,0,0,500,0.0022838482142769,10.118554842000844,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,1,measure_weighted,Measure-weighted,6,3375,0.001969919532669,0.0126812749929377,0.5834736072293625,0.2980774411111501,0.0,0.95,475,25,0,0.0021201416147146,7.085473960938495,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,1,random,Random,6,3375,0.0021201416147146,0.0126812749929377,0.5834736072293625,0.2980774411111501,0.0,0.95,0,500,0,0.0021201416147146,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,1,dopt,D-optimal,6,3375,0.0019758730005853,0.0126812749929377,0.5834736072293625,0.2980774411111501,0.0,0.95,500,0,0,0.0021201416147146,6.804668760239234,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,1,latin,Latin hypercube,6,3375,0.0019477440333983,0.0126812749929377,0.5834736072293625,0.2980774411111501,0.0,0.95,0,0,500,0.0021201416147146,8.131418209039667,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,0,measure_weighted,Measure-weighted,6,3375,0.0022228485313793,0.0147924697415178,0.9594460614021568,0.4871192655718372,0.5751031967221999,0.5761829221305701,288,212,0,0.0026892188074193,17.342221270849166,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,0,random,Random,6,3375,0.0026892188074193,0.0147924697415178,0.9594460614021568,0.4871192655718372,0.5751031967221999,0.5761829221305701,0,500,0,0.0026892188074193,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,0,dopt,D-optimal,6,3375,0.0022041432898871,0.0147924697415178,0.9594460614021568,0.4871192655718372,0.5751031967221999,0.5761829221305701,500,0,0,0.0026892188074193,18.03778540422002,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,0,latin,Latin hypercube,6,3375,0.0024555538165595,0.0147924697415178,0.9594460614021568,0.4871192655718372,0.5751031967221999,0.5761829221305701,0,0,500,0.0026892188074193,8.688954212840157,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,1,measure_weighted,Measure-weighted,6,3375,0.0021580651908933,0.0174872214049397,0.8329555533965691,0.4252213874007544,0.3071663839929963,0.7503418504045523,375,125,0,0.0026195823540226,17.61796732294129,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,1,random,Random,6,3375,0.0026195823540226,0.0174872214049397,0.8329555533965691,0.4252213874007544,0.3071663839929963,0.7503418504045523,0,500,0,0.0026195823540226,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,1,dopt,D-optimal,6,3375,0.0022048069253894,0.0174872214049397,0.8329555533965691,0.4252213874007544,0.3071663839929963,0.7503418504045523,500,0,0,0.0026195823540226,15.83364722228296,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,1,latin,Latin hypercube,6,3375,0.0022701535241091,0.0174872214049397,0.8329555533965691,0.4252213874007544,0.3071663839929963,0.7503418504045523,0,0,500,0.0026195823540226,13.339104585770908,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,0,measure_weighted,Measure-weighted,6,3375,0.0022012551243374,0.0103793149998812,0.6983961871345616,0.3543877510672214,0.0005494317806853,0.9496428693425544,475,25,0,0.0024160748176004,8.891268254531242,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,0,random,Random,6,3375,0.0024160748176004,0.0103793149998812,0.6983961871345616,0.3543877510672214,0.0005494317806853,0.9496428693425544,0,500,0,0.0024160748176004,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,0,dopt,D-optimal,6,3375,0.0023251945503118,0.0103793149998812,0.6983961871345616,0.3543877510672214,0.0005494317806853,0.9496428693425544,500,0,0,0.0024160748176004,3.7614839832984734,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,0,latin,Latin hypercube,6,3375,0.0024028824420959,0.0103793149998812,0.6983961871345616,0.3543877510672214,0.0005494317806853,0.9496428693425544,0,0,500,0.0024160748176004,0.5460251234084769,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,1,measure_weighted,Measure-weighted,6,3375,0.0021067570186458,0.0096954983824639,0.5488352487714958,0.2792653735769799,0.0,0.95,475,25,0,0.0025280189066022,16.66371587871408,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,1,random,Random,6,3375,0.0025280189066022,0.0096954983824639,0.5488352487714958,0.2792653735769799,0.0,0.95,0,500,0,0.0025280189066022,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,1,dopt,D-optimal,6,3375,0.0023069788952187,0.0096954983824639,0.5488352487714958,0.2792653735769799,0.0,0.95,500,0,0,0.0025280189066022,8.743605944016775,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,1,latin,Latin hypercube,6,3375,0.0023415662411887,0.0096954983824639,0.5488352487714958,0.2792653735769799,0.0,0.95,0,0,500,0.0025280189066022,7.375445845225655,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,6,3375,0.0022459077985629,0.0138035359606789,0.8006651892691872,0.407234362614933,0.2293061045457169,0.800951032045284,400,100,0,0.0022260841756166,-0.890515424506998,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,0,random,Random,6,3375,0.0022260841756166,0.0138035359606789,0.8006651892691872,0.407234362614933,0.2293061045457169,0.800951032045284,0,500,0,0.0022260841756166,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,0,dopt,D-optimal,6,3375,0.0018671263545467,0.0138035359606789,0.8006651892691872,0.407234362614933,0.2293061045457169,0.800951032045284,500,0,0,0.0022260841756166,16.125078512379925,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,0,latin,Latin hypercube,6,3375,0.0017783652455283,0.0138035359606789,0.8006651892691872,0.407234362614933,0.2293061045457169,0.800951032045284,0,0,500,0.0022260841756166,20.112398937666264,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,6,3375,0.0020177988556566,0.0229227008621773,0.9024350401728038,0.4626788705174905,0.4693082689121617,0.6449496252070948,322,178,0,0.0019746631254169,-2.1844602091634133,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,1,random,Random,6,3375,0.0019746631254169,0.0229227008621773,0.9024350401728038,0.4626788705174905,0.4693082689121617,0.6449496252070948,0,500,0,0.0019746631254169,0.0,20,measure_weighted_sampling_grand_mean_p20
